id,url,headline,author,date
1,https://www.theverge.com/2022/9/2/23334150/lg-moodup-fridge-led-rgb-lighting-bluetooth-speaker-music-mood,LG’s MoodUp is a fridge that’s as flashy on the outside as I feel on the inside,Jon Porter,2022-09-02
2,https://www.theverge.com/2022/9/2/23334102/google-play-third-party-payment-fee-countries,Google expands Play Store billing alternatives to many countries,Thomas Ricker,2022-09-02
3,https://www.theverge.com/2022/9/1/23333652/apple-store-oklahoma-city-union-election-cwa,Another Apple Store union election is brewing,Mitchell Clark,2022-09-01
4,https://www.theverge.com/2022/9/1/23333362/apple-app-store-lawsuit-flicktype-kosta-eleftheriou-scams,Apple settles lawsuit over its App Store moderation and power,Mitchell Clark,2022-09-01
5,https://www.theverge.com/2022/9/1/23333605/microsoft-xbox-game-pass-friends-family-pricing-confirmed,Microsoft confirms new Xbox Game Pass Friends & Family plan and its pricing,Tom Warren,2022-09-01
6,https://www.theverge.com/good-deals/22916033/best-tablet-deals,Here are the best tablet deals right now,Alice Newcome-Beill,2022-09-01
7,https://www.theverge.com/2022/9/1/23333515/lg-oled-flex-transforming-tv-curved-flat-hands-on,"Hang on, is LG secretly bringing back curved TVs?",Jon Porter,2022-09-01
8,https://www.theverge.com/2022/9/1/23333124/t-mobile-sprint-layoffs-5g-merger-jobs-promise,The T-Mobile / Sprint merger hasn’t created jobs — it’s cut thousands,Jasmine Hicks,2022-09-01
9,https://www.theverge.com/2022/9/1/23333189/sennheiser-ambeo-soundbar-plus-hands-on-first-impressions-listening-experience,Sennheiser’s more-affordable soundbar is still a premium-sounding beast,Jon Porter,2022-09-01
10,https://www.theverge.com/21539047/best-amazon-kindle-deals,Here are the best Kindle deals right now,Cameron Faulkner,2022-09-01
